regionId	raceId	apType	Description	name	description	href
MD	MD22839	Question	1 - OxyGen and Comptel Vacancies	Question 1 	Preserve political party affiliations when filling vacancies in some statewide elected office	https://ballotpedia.org/Maryland_Appointments_to_Fill_Vacancies_Required_to_Preserve_Political_Party_Affiliation,_Question_1_(2016)
ME	ME 21291	Question	1 - Legalize Marijuana	Question 1 	Legalize, regulate and tax marijuana as an agricultural product for individuals over 21	https://ballotpedia.org/Maine_Marijuana_Legalization,_Question_1_(2016)
ME	ME 21294	Question	2 - New Income Tax For Public Ed	Question 2 	Establish a 3 percent tax on household income over $200,000 for public education	https://ballotpedia.org/Maine_Tax_on_Incomes_Exceeding_$200,000_for_Public_Education,_Question_2_(2016)
ME	ME 21293	Question	3 - Expand Gun Background Checks	Question 3 	Require background checks on new firearms sales or transfers	https://ballotpedia.org/Maine_Background_Checks_for_Gun_Sales,_Question_3_(2016)
ME	ME 21292	Question	4 - Increase Minimum Wage	Question 4 	Incrementally increase the minimum wage until it reaches $12 per hour in 2020	https://ballotpedia.org/Maine_Minimum_Wage_Increase,_Question_4_(2016)
ME	ME 21290	Question	5 - Allow Ranked-Choice Voting	Question 5 	Establish a statewide system of ranked-choice (or instant-runoff) voting	https://ballotpedia.org/Maine_Ranked_Choice_Voting_Initiative,_Question_5_(2016)
ME	ME 21295	Question	6 - Issue Transportation Bonds	Question 6 	Release $100 million in bonds for transportation projects	https://ballotpedia.org/Maine_Transportation_Bond,_Question_6_(2016)
MN	MN26355	Amendment	1 - Legislative Pay	Amendment 1 	Create a bi-partisan board to set the salaries of state legislators	https://ballotpedia.org/Minnesota_Board_to_Set_State_Legislative_Salaries,_Amendment_1_(2016)
MO	MO27491	Amendment	1 - Keep Conservation Tax	Amendment 1 	Renew existing sales tax for 10 years to fund parks and conservation	https://ballotpedia.org/Missouri_Sales_Tax_for_Parks_and_Conservation,_Amendment_1_(2016)
MO	MO 27492	Amendment	2 - Limit Campaign Contributions	Amendment 2 	Regulate campaign contributions to candidates for state or judicial office	https://ballotpedia.org/Missouri_State_and_Judicial_Campaign_Contribution_Limits,_Constitutional_Amendment_2_(2016)
MO	MO27493	Amendment	3 - Raise Cigarette Tax	Amendment 3 	Increase tax on cigarettes by 60 cents per pack by 2020	https://ballotpedia.org/Missouri_60_Cent_Cigarette_Tax,_Constitutional_Amendment_3_(2016)
MO	MO27494	Amendment	4 - Prohibit Sales Tax	Amendment 4 	Prohibit new sales or use tax on previously untaxed services	https://ballotpedia.org/Missouri_Prohibition_on_Extending_Sales_Tax_to_Previously_Untaxed_Services,_Constitutional_Amendment_4_(2016)
MO	MO27489	Amendment	6 - Voter ID	Amendment 6 	Allow state legislature to require voter IDs in public elections	https://ballotpedia.org/Missouri_Voter_ID_Requirement,_Constitutional_Amendment_6_(2016)
MO	MO 27495	Proposition	A - Raise Tobacco Tax	Proposition A 	Increase cigarette tax by 23 cents per pack by 2021; add a 5 percent sales tax for other tobacco products	https://ballotpedia.org/Missouri_23_Cent_Cigarette_Tax,_Proposition_A_(2016)
MT	MT 28427	Constitutional Init	116 - Create Crime Victim Rights	Constitutional Init 116 	Provide rights to crime victims to protect their interests under law	https://ballotpedia.org/Montana_Crime_Victims_Rights_Initiative,_CI-116_(2016)
MT	MT 28428	Initiative	177 - Prohibit Animal Trapping	Initiative 177 	Prohibit the use of animal traps and snares on state public lands	https://ballotpedia.org/Montana_Animal_Trap_Restrictions_Initiative,_I-177_(2016)
MT	MT 28430	Initiative	181 - Issue Brain Research Bonds	Initiative 181 	Create annual bonds for 10 years to fund Montana Biomedical Research Authority	https://ballotpedia.org/Montana_Bonds_to_Fund_Biomedical_Research_Authority,_I-181_(2016)
MT	MT 28429	Initiative	182 - Expand Medical Marijuana	Initiative 182 	Repeal the state's current three-patient limit for medical marijuana providers	https://ballotpedia.org/Montana_Medical_Marijuana_Initiative,_I-182_(2016)
ND	ND 35714	Measure	1 - Legislative Residence	Measure 1 	Require state legislators to remain residents of their districts through end of term	https://ballotpedia.org/North_Dakota_Residency_Requirement_for_State_Legislators,_Constitutional_Measure_1_(2016)
ND	ND 35715	Measure	2 - School Trust Fund	Measure 2 	Allocate some oil extraction tax revenue to schools for educational purposes	https://ballotpedia.org/North_Dakota_Allocation_of_Oil_Extraction_Taxes,_Constitutional_Measure_2_(2016)
ND	ND 35716	Measure	3 - Crime Victim Rights	Measure 3 	Incorporate existing statutes for crime victims' rights into state constitution	https://ballotpedia.org/North_Dakota_Crime_Victim_Rights,_Initiated_Constitutional_Measure_3_(2016)
ND	ND 35717	Measure	4 - Veterans Trust Fund	Measure 4 	Increase tobacco tax and use revenue for veteran and health services	https://ballotpedia.org/North_Dakota_Tobacco_Tax_Increase,_Initiated_Statutory_Measure_4_(2016)
ND	ND 35718	Measure	5 - Medical Marijuana	Measure 5 	Legalize and regulate medical marijuana for residents with debilitating diseases	https://ballotpedia.org/North_Dakota_Medical_Marijuana_Legalization,_Initiated_Statutory_Measure_5_(2016)
NE	NE29338	Referendum	426 - Repeal LB 268	Referendum 426 	Reinstate the death penalty in Nebraska by repealing LB 268	https://ballotpedia.org/Nebraska_Death_Penalty_Repeal,_Referendum_426_(2016)
NJ	NJ 31652	Amendment	1 - Expand Gambling	Amendment 1 	Allow two additional casinos in the state, outside of Atlantic City	https://ballotpedia.org/New_Jersey_Allowance_for_Casinos_in_Two_Additional_Counties,_Public_Question_1_(2016)
NJ	NJ 31651	Amendment	2 - Transportation Rev	Amendment 2 	Dedicate all revenue from gas taxes to transportation projects	https://ballotpedia.org/New_Jersey_Dedication_of_All_Gas_Tax_Revenue_to_Transportation,_Public_Question_2_(2016)
NM	NM 33990	Amendment	Deny Bail to Certain Felons	Deny Bail to Certain Felons	Grant courts the authority to deny bail in some felony cases	https://ballotpedia.org/New_Mexico_Changes_in_Regulations_Governing_Bail,_Constitutional_Amendment_1_(2016)
NV	NV 31047	Question	1 - Expand Gun Background Checks	Question 1 	Require firearm transfers to go through a licensed dealer	https://ballotpedia.org/Nevada_Background_Checks_for_Gun_Purchases,_Question_1_(2016)
NV	NV 31048	Question	2 - Legalize Marijuana	Question 2 	Legalize recreational marijuana (at 1 ounce or less) for people over 21	https://ballotpedia.org/Nevada_Marijuana_Legalization,_Question_2_(2016)
NV	NV31050	Question	3 - Open Electric Energy Market	Question 3 	Minimize regulations on energy market and eliminate legal energy monopolies	https://ballotpedia.org/Nevada_Legislature_to_Minimize_Regulations_on_the_Energy_Market_and_Eliminate_Legal_Energy_Monopolies,_Question_3_(2016)
NV	NV 31049	Question	4 - Medical Patient Tax Relief	Question 4 	Establish a sales tax exemption for medical equipment	https://ballotpedia.org/Nevada_Medical_Equipment_Sales_Tax_Exemption,_Question_4_(2016)
OK	OK 38531	Question	776 - Execution Methods	Question 776 	Guarantee the state's power to impose capital punishment and methods of execution.	https://ballotpedia.org/Oklahoma_Death_Penalty,_State_Question_776_(2016)
OK	OK 38532	Question	777 - Farming and Ranching	Question 777 	Add the right to farm and ranch to the Oklahoma constitution	https://ballotpedia.org/Oklahoma_Right_to_Farm_Amendment,_State_Question_777_(2016)
OK	OK 38533	Question	779 - Education Sales Tax	Question 779 	Increase sales tax by one percent in order to raise $615 million per year for education funding	https://ballotpedia.org/Oklahoma_One_Percent_Sales_Tax,_State_Question_779_(2016)
OK	OK 38535	Question	780 - Reclassify Crimes	Question 780 	Reclassify possession of drugs to a misdemeanor and change the standard for theft as a felony	https://ballotpedia.org/Oklahoma_Reclassification_of_Some_Drug_and_Property_Crimes_as_Misdemeanors,_State_Question_780_(2016)
OK	OK 38536	Question	781 - Rehabilitation Fund	Question 781 	Redirect the money saved from SQ 780 to rehabilitation programs in the state	https://ballotpedia.org/Oklahoma_2016_ballot_measures
OK	OK 38534	Question	790 - Funds for Religious Use	Question 790 	Allow public government money to be used for religious purposes or for religious institutions	https://ballotpedia.org/Oklahoma_Public_Money_for_Religious_Purposes,_State_Question_790_(2016)
OK	OK 38537	Question	792 - Beer Wine Sales	Question 792 	Change alcohol restrictions in the state to allow the sale of beer and wine	https://ballotpedia.org/Oklahoma_Regulations_Governing_the_Sale_of_Wine_and_Beer,_State_Question_792_(2016)
OR	OR 39094	Measure	94 - Elim Mand Judge Retire Age	Measure 94 	Remove the mandatory retirement age for judges, set at 75 years	https://ballotpedia.org/Oregon_Elimination_of_Mandatory_Judicial_Retirement_Age,_Measure_94_(2016)
OR	OR 39095	Measure	95 - Allow Pub Univs to Invest	Measure 95 	Allow universities to invest in equities, aiming to reduce financial risk for students	https://ballotpedia.org/Oregon_Public_University_Diversification_of_Investments,_Measure_95_(2016)
OR	OR 39096	Measure	96 - Lottery Proceeds for Vets	Measure 96 	Devote 1.5 percent of the state's lottery net proceeds to veterans' services	https://ballotpedia.org/Oregon_Portion_of_Lottery_Proceeds_for_Support_of_Veterans,_Measure_96_(2016)
OR	OR 39097	Measure	97 - Increase Corporate Min Tax	Measure 97 	Remove the cap on corporate gross sales tax, and establish a 2.5 percent tax on gross sales over $25 million	https://ballotpedia.org/Oregon_Business_Tax_Increase,_Measure_97_(2016)
OR	OR 39098	Measure	98 - St Fund for HS Dropout Prev	Measure 98 	Fund dropout prevention and college readiness programs in high school	https://ballotpedia.org/Oregon_State_Funding_for_Dropout_Prevention_and_College_Readiness,_Measure_98_(2016)
OR	OR 39099	Measure	99 - Create Outdoor School Fund	Measure 99 	Create a fund to support outdoor school programs using lottery proceeds	https://ballotpedia.org/Oregon_Outdoor_School_Lottery_Fund,_Measure_99_(2016)
OR	OR 39100	Measure	100 - Wildlife Products Ban	Measure 100 	Prohibit the sale of products from and parts of 12 endangered animals	https://ballotpedia.org/Oregon_Wildlife_Trafficking_Prevention,_Measure_100_(2016)
PA	PA40287	Amendment	Judicial Retirement Age	Judicial Retirement Age	Change retirement age to 75 for Supreme Court justices and judges	https://ballotpedia.org/Pennsylvania_Judicial_Retirement_Age_Amendment_(2016)
RI	RI 41124	Question	1 - Allow Tiverton Gaming	Question 1 	Establish a gaming facility, the Twin River Casino, in Tiverton	https://ballotpedia.org/Rhode_Island_Twin_River_Casino_in_Tiverton,_Question_1_(2016)
RI	RI 41125	Question	2 - Expand Ethics Comm Authority	Question 2 	Allow ethics commission to investigate alleged misconduct in legislative activities	https://ballotpedia.org/Rhode_Island_Ethics_Commission_Amendment,_Question_2_(2016)
RI	RI 41126	Question	3 - Approve Veterans Home Bonds	Question 3 	Approve $27 million in bonds to construct a Veterans Home	https://ballotpedia.org/Rhode_Island_Veterans_Home_Bonds,_Question_3_(2016)
RI	RI 41127	Question	4 - Approve Public Univ Bonds	Question 4 	Approve $45.5 million in bonds for higher education projects	https://ballotpedia.org/Rhode_Island_Higher_Education_Bonds,_Question_4_(2016)
RI	RI 41128	Question	5 - Approve Port Project Bonds	Question 5 	Approve $70 million in bonds to fund port infrastructure projects	https://ballotpedia.org/Rhode_Island_Port_Infrastructure_Bonds,_Question_5_(2016)
RI	RI 41129	Question	6 - Approve Green Economy Bonds	Question 6 	Approve $35 million in bonds for environmental and recreational projects	https://ballotpedia.org/Rhode_Island_Environmental_and_Recreational_Improvement_Bonds,_Question_6_(2016)
RI	RI 41130	Question	7 - Approve Urban Housing Bonds	Question 7 	Approve $50 million in bonds to fund affordable house and urban revitalization	https://ballotpedia.org/Rhode_Island_Affordable_Housing_Bonds,_Question_7_(2016)
SD	SD 42561	Referendum	19 - Election Deadlines	Referendum 19 	Support SB 69 to change election laws for independent and minority parties	https://ballotpedia.org/South_Dakota_Independent_Candidates_Election_Law_Referendum,_Referred_Law_19_(2016)
SD	SD 42562	Referendum	20 - Youth Minimum Wage	Referendum 20 	Support SB 177 to decrease minimum wage for workers under age 18	https://ballotpedia.org/South_Dakota_Decreased_Youth_Minimum_Wage_Veto_Referendum,_Referred_Law_20_(2016)
SD	SD 42563	Measure	21 - Cap Interest Rates	Measure 21 	Place a 36 percent interest rate cap on short-term loans	https://ballotpedia.org/South_Dakota_Payday_Lending_Initiative,_Initiated_Measure_21_(2016)
SD	SD 42564	Measure	22 - Campaign Finance Overhaul	Measure 22 	Revise campaign finance and lobbying laws, create ethics commission	https://ballotpedia.org/South_Dakota_Revision_of_State_Campaign_Finance_and_Lobbying_Laws,_Initiated_Measure_22_(2016)
SD	SD 42565	Measure	23 - Union Fees	Measure 23 	Permit corporations and nonprofits to charge fees for services	https://ballotpedia.org/South_Dakota_Right_for_Organizations_to_Charge_Fees_for_Services,_Initiated_Measure_23_(2016)
SD	SD 42555	Amendment	R - Tech College Autonomy	Amendment R 	Create a separate board or entity to manage technical schools	https://ballotpedia.org/South_Dakota_Governance_of_Technical_Education_Institutes,_Constitutional_Amendment_R_(2016)
SD	SD 42556	Amendment	S - Crime Victim Rights	Amendment S 	Expand the rights of victims of crimes	https://ballotpedia.org/South_Dakota_Crime_Victim_Rights,_Constitutional_Amendment_S_(2016)
SD	SD 42557	Amendment	T - Redistricting Commission	Amendment T 	Create an independent congressional redistricting commission	https://ballotpedia.org/South_Dakota_Redistricting_Commission,_Constitutional_Amendment_T_(2016)
SD	SD 42558	Amendment	U - Interest Rate Loophole	Amendment U 	Remove limits on how much interest a money lender can charge on a loan, if the rate is agreed to in writing	https://ballotpedia.org/South_Dakota_Limit_on_Statutory_Interest_Rates_for_Loans,_Constitutional_Amendment_U_(2016)
SD	SD42560	Amendment	V - Nonpartisan Elections	Amendment V 	Establish nonpartisan primary elections for all elected offices, except presidency and vice presidency	https://ballotpedia.org/South_Dakota_Nonpartisan_Elections,_Constitutional_Amendment_V_(2016)
UT	UT 49633	Constitutional Amendment	A - Oath of Office Word Change	Constitutional Amendment A 	Change certain language in the state's oath of office	https://ballotpedia.org/Utah_Oath_of_Office,_Amendment_A_(2016)
UT	UT 49634	Constitutional Amendment	B - Changes to State School Fund	Constitutional Amendment B 	Change certain provisions governing the distribution and investment of the State School Fund	https://ballotpedia.org/Utah_School_Funds_Distribution,_Amendment_B_(2016)
UT	UT 49635	Constitutional Amendment	C - State Gov Prop Tax Exemption	Constitutional Amendment C 	Property tax exemptions for tangible personal property leased by the state	https://ballotpedia.org/Utah_Property_Tax_Exemptions,_Amendment_C_(2016)
VA	VA47962	Amendment	1 - Right to Work	Amendment 1 	Prohibit employers from requiring employees to join labor unions	https://ballotpedia.org/Virginia_%22Right_to_Work%22_Amendment_(2016)
VA	VA47963	Amendment	2 - Property Tax Exemptions	Amendment 2 	Allow for local property tax exemptions for spouses of first responders killed in the line of duty	https://ballotpedia.org/Virginia_Property_Tax_Exemption_for_Surviving_Spouses_of_Police_and_Service_Personnel_Amendment_(2016)
WA	WA 49401	Initiative	1433 - Increase Minimum Wage	Initiative 1433 	Increase the state minimum way to $13.50 by 2020 and require paid sick leave	https://ballotpedia.org/Washington_Minimum_Wage_Increase,_Initiative_1433_(2016)
WA	WA49407	Initiative	1464 - Campaign Finance	Initiative 1464 	Create a state-funded campaign finance system allowing residents to direct state funds to state political campaigns	https://ballotpedia.org/Washington_State-Provided_Campaign_Financing_Funded_by_a_Non-Resident_Sales_Tax,_Initiative_1464_(2016)
WA	WA 49404	Initiative	1491 - Firearms Access	Initiative 1491 	Allow courts to issue extreme risk protection orders prohibiting an individual from having access to firearms	https://ballotpedia.org/Washington_Individual_Gun_Access_Prevention_by_Court_Order,_Initiative_1491_(2016)
WA	WA 49405	Initiative	1501 - Fraud Protection	Initiative 1501 	Increase the penalties for criminal identity theft against seniors or vulnerable individuals	https://ballotpedia.org/Washington_Increased_Penalties_for_Crimes_Against_Vulnerable_Individuals,_Initiative_1501_(2016)
WA	WA 49406	Initiative	732 - Carbon Tax	Initiative 732 	Impose a carbon emission tax on the use of certain fossil fuels	https://ballotpedia.org/Washington_Carbon_Emission_Tax_and_Sales_Tax_Reduction,_Initiative_732_(2016)
WA	WA 49403	Initiative	735 - Oppose Citizens United	Initiative 735 	Call for a federal amendment reserving constitutional rights for people and not corporations	https://ballotpedia.org/Washington_Advisory_Question_about_the_Rights_of_Corporations_and_Money_as_Free_Speech,_Initiative_735_(2016)
WA	WA 49408	Initiative	8210 - Redistricting	Initiative 8210 	Set an earlier deadline for congressional redistricting	https://ballotpedia.org/Washington_Advancement_of_Date_for_Completion_of_Redistricting_Plan,_Senate_Joint_Resolution_No._8210_(2016)
WA	WA 49409	Advisory Vote	No. 14	Advisory Vote No. 14	Levy a tax on stand-alone family dental plans to fund the state health insurance exchange	https://ballotpedia.org/Washington_Taxation_of_Stand-Alone_Dental_Plans,_Advisory_Vote_14_(2016)
WA	WA49410	Advisory Vote	No. 15	Advisory Vote No. 15	Limit the sales tax exemption on certain alternative fuel vehicles	https://ballotpedia.org/Washington_Modifying_Tax_Exemption_Criteria_for_Alternative_Fuel_Vehicles,_Advisory_Vote_15_(2016)
WY	WY 51808	Constitutional Amendment	A - Expand Funds Leg May Invest	Constitutional Amendment A 	Permit the state legislature to invest additional state funds in equities	https://ballotpedia.org/Wyoming_Investment_of_Funds_in_Equities,_Constitutional_Amendment_A_(2016)